tesi,unit,length,unit_2,diam,class,shoot_ID,tree,Length(node),rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,48,mm,6.76,VLo,12,8,15,13,5,0.3,0.33,5,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,14,6,0.4,0.4,6,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,15,7,0.5,0.47,7,0,2,1,1,3,0,3,3,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,1,-7,-0.5,0.47,7,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,2,-6,-0.4,0.4,6,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,3,4
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,3,-5,-0.3,0.33,5,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,4,-4,-0.3,0.27,4,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,5,-3,-0.2,0.2,3,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,6,-2,-0.1,0.13,2,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,7,-1,-0.1,0.07,1,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,8,0,0,0,0,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,9,1,0.1,0.07,1,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,10,2,0.1,0.13,2,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,11,3,0.2,0.2,3,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,12,4,0.3,0.27,4,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,13,5,0.3,0.33,5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,14,6,0.4,0.4,6,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,15,7,0.5,0.47,7,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,1,-8,-0.5,0.47,8,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,2,-7,-0.4,0.41,7,0,0,1,1,1,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,3,-6,-0.4,0.35,6,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,4,-5,-0.3,0.29,5,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,1,3,4
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,5,-4,-0.2,0.24,4,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,6,-3,-0.2,0.18,3,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,7,-2,-0.1,0.12,2,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,8,-1,-0.1,0.06,1,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,9,0,0,0,0,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,10,1,0.1,0.06,1,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,11,2,0.1,0.12,2,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,12,3,0.2,0.18,3,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,13,4,0.2,0.24,4,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,14,5,0.3,0.29,5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,15,6,0.4,0.35,6,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
